Symbol,Sector,Current_Price,Accumulation_Score,Bullish_Probability,Volume_Accumulation,Consolidation_Periods,Technical_Signals,Breakout_Signals,Current_RSI,Price_vs_200MA,Volume_Ratio,Bullish_Engulfing,Bearish_Engulfing,Hammer_Pattern,Doji_Pattern,Data_Years
DRREDDY.NS,PHARMA,1263.0999755859375,0.828,0.5,0.428,6,22,52,52.87,19.8,0.45,49,77,21,120,20.1
APOLLOTYRE.NS,UNKNOWN,458.1499938964844,0.633,0.5,0.444,0,27,51,51.26,26.18,0.78,48,70,26,124,20.1
IDFCFIRSTB.NS,UNKNOWN,73.4800033569336,0.657,0.5,0.39,1,15,17,60.68,15.08,0.58,15,37,15,49,9.8
IOB.NS,UNKNOWN,39.83000183105469,0.608,0.5,0.359,0,43,32,45.57,9.68,0.58,31,61,26,107,20.1
CASTROLIND.NS,UNKNOWN,223.6699981689453,0.799,0.75,0.331,8,34,36,56.96,46.44,1.3,47,63,15,107,20.1
TATACOMM.NS,UNKNOWN,1731.5999755859375,0.633,0.5,0.444,0,39,44,57.68,17.41,0.45,42,67,18,130,20.1
AGARIND.NS,UNKNOWN,934.4500122070312,0.618,0.5,0.394,0,21,40,43.42,17.4,0.52,14,32,8,52,11.2
AAVAS.NS,UNKNOWN,1927.800048828125,0.535,0.5,0.383,1,4,11,53.91,1.33,0.41,9,31,9,46,6.8
ADANIENT.NS,UNKNOWN,2616.60009765625,0.618,0.5,0.393,0,26,110,56.1,2.53,0.5,49,63,17,120,20.1
NTPC.NS,ENERGY,342.6499938964844,0.818,0.5,0.392,6,22,37,50.1,43.37,0.49,34,62,20,117,20.1
JAICORPLTD.NS,UNKNOWN,111.95999908447266,0.607,0.25,0.355,0,47,30,39.35,-44.78,0.48,31,65,16,121,20.1
DIXON.NS,UNKNOWN,16107.0,0.637,0.5,0.457,0,13,63,57.12,111.32,0.71,14,28,10,40,7.9
APCOTEXIND.NS,UNKNOWN,393.6000061035156,0.619,0.25,0.396,0,26,48,62.55,-10.13,0.79,41,50,16,126,20.1
